FIPS,Week,Confirmed,Deaths,Incident_Rate,New_Cases,Risk_Category,scaled_new_cases,scaled_incidence
5,11,2294105,38532,10859.859875402302,13901.0,High,-0.1931441226557936,-0.014334519072953609
5,12,2304551,38934,10909.309266889812,10446.0,High,-0.19876427004904054,-0.0011893622709669928
5,13,2312853,39354,10948.609367227677,8302.0,High,-0.20225185210725224,0.009257803320656807
5,14,2320557,39588,10985.07864848555,7704.0,High,-0.20322460120744376,0.01895245084147819
5,15,2329029,39750,11025.183496722402,8472.0,High,-0.2019753180821142,0.029613542974966905
5,16,2338055,39951,11067.91087634774,9026.0,High,-0.20107414249431135,0.040971783956657105
5,17,2346984,40104,11110.179076289534,8929.0,High,-0.20123192955571365,0.052207960970341076
5,18,2357026,40272,11157.716008064142,10042.0,High,-0.19942144502642745,0.06484472763753871
5,19,2366365,40438,11201.925070585858,9339.0,High,-0.2005649945539101,0.07659684513454709
5,20,2375764,40635,11246.418161777809,9399.0,High,-0.20046739430974372,0.08842446611692098
5,21,2384872,40777,11289.533713919129,9108.0,High,-0.20094075549395063,0.09988589519527567
5,22,2392250,40867,11324.459772735408,7378.0,High,-0.20375489586741438,0.10917030711228325
5,23,2401279,40976,11367.201353794257,9029.0,High,-0.20106926248210302,0.1205323232682414
5,24,2412695,41077,11421.242542117192,11416.0,High,-0.1971863994350175,0.13489811975028937
5,25,2425509,41197,11481.90159845655,12814.0,High,-0.19491231374594103,0.15102314744133424
5,26,2444801,41339,11573.226283558695,19292.0,High,-0.18437474071744503,0.17530003476891606
5,27,2472819,41532,11705.858204935015,28018.0,High,-0.17018041187418229,0.21055764565136503
5,28,2518538,41815,11922.283317841147,45719.0,High,-0.14138671317436635,0.2680900431078107
5,29,2580152,42150,12213.952359303084,61614.0,High,-0.11553078182395822,0.3456245722287759
5,30,2663204,42691,12607.104844639156,83052.0,High,-0.08065821458331339,0.4501364966705324
5,31,2764221,43607,13085.300247654066,101017.0,High,-0.051435074809165406,0.5772554230218907
5,32,2875886,44608,13613.90127201293,111665.0,High,-0.03411428481110653,0.7177737012426286
5,33,2983521,45909,14123.425037354504,107635.0,High,-0.04066976787761454,0.8532206620297083
5,34,3089799,47397,14626.525020937648,106278.0,High,-0.04287716006651066,0.9869599856561239
5,35,3189640,48757,15099.153462015996,99841.0,High,-0.053348039594826306,1.1125990436943345
5,36,3277336,49977,15514.289766428075,87696.0,High,-0.07310395568483617,1.2229549379033149
5,37,3354943,51502,15881.666649940536,77607.0,High,-0.08951543674141167,1.32061492104823
5,38,3418987,52638,16184.838852546894,64044.0,High,-0.11157797193522014,1.4012073413264634
5,39,3465350,53674,16404.312539846855,46363.0,High,-0.14033913722031396,1.4595501428591555
5,40,3499911,54491,16567.91778771205,34561.0,High,-0.1595371052478394,1.5030414088206205
5,41,3532114,57006,16720.3607088371,32203.0,High,-0.16337279484357783,1.5435653878072544
5,42,3558739,57612,16846.39843125285,26625.0,High,-0.17244636420957823,1.5770700594378202
5,43,3580534,58271,16949.57184571487,21795.0,High,-0.1803031838649712,1.6044967004965314
5,44,3601569,59013,17049.147563687275,21035.0,High,-0.18153945362441193,1.630966964073957
5,45,3623970,59721,17155.189667718645,22401.0,High,-0.17931742139889084,1.6591561903348513
5,46,3651467,60152,17285.35527347511,27497.0,High,-0.17102790732769363,1.69375817928605
5,47,3679886,60462,17419.88545313082,28419.0,High,-0.1695281169090037,1.7295204051290203
5,48,3710122,60775,17563.01696768341,30236.0,High,-0.16657245618149874,1.767569128187116
5,49,3749091,61544,17747.48885518836,38969.0,High,-0.15236674064308323,1.8166073835400365
5,50,3784103,62279,17913.22905189147,35012.0,High,-0.1588034767458555,1.8606661840331593
5,51,3824907,63064,18106.387482894377,40804.0,High,-0.14938179984232836,1.9120135876468174
5,52,3342181,54636,18458.12937707905,0.0,High,-0.21575647255840597,2.0055173136543103
6,1,18451823,196128,6673.736305417621,18451823.0,Low,29.799284029353004,-1.1271338693711328
6,2,20536335,219792,7427.93836587876,2084512.0,Low,3.1750581969038123,-0.9266439533800062
6,3,22104086,242570,7995.094147376695,1567751.0,Low,2.3344582006428336,-0.7758766445279486
6,4,23165497,267687,8379.251583563322,1061411.0,Low,1.5108097401228175,-0.6737558785606275
6,5,23967701,293250,8669.529932547708,802204.0,Low,1.0891652986289364,-0.5965910379258264
6,6,24549545,315875,8880.00404330579,581844.0,Low,0.730712135220573,-0.5406405983865948
6,7,24939050,334118,9020.902215499238,389505.0,Low,0.41783991250864155,-0.5031855658597733
6,8,25238311,354016,9129.208303104442,299261.0,Low,0.27104263859947314,-0.47439450369797237
6,9,25475585,371032,9215.075041462487,237274.0,Low,0.1702101996804578,-0.4515685051196729
